station_identifier,date,observation_type,observation_value,TMAX_F,month,country_code
ASN00086071,1866-01-10,TMAX,22.9,73.22,1,ASN
CA006158350,1866-01-10,TMAX,-2.2,28.04,1,CA
GME00125218,1866-01-10,TMAX,3.3,37.94,1,GME
EIE00101859,1866-01-10,TMAX,9.4,48.92,1,EIE
CA006110549,1866-01-10,TMAX,-4.4,24.08,1,CA
BE000006447,1866-01-10,TMAX,6.9,44.42,1,BE
CA006153192,1866-01-10,TMAX,1.7,35.06,1,CA
ITE00100554,1866-01-11,TMAX,3.4,38.12,1,ITE
UK000056225,1866-01-11,TMAX,4.4,39.92,1,UK
ASN00090015,1866-01-11,TMAX,26.7,80.06,1,ASN
CA006148100,1866-01-11,TMAX,-0.6,30.92,1,CA
USC00288878,1866-01-11,TMAX,3.3,37.94,1,USC
UK000047811,1866-01-11,TMAX,2.8,37.04,1,UK
GM000004204,1866-01-11,TMAX,5.4,41.72,1,GM
AU000005901,1866-01-11,TMAX,4.1,39.38,1,AU
ASN00066062,1866-01-11,TMAX,25.4,77.72,1,ASN
SZ000006717,1866-01-11,TMAX,-8.0,17.6,1,SZ
EZE00100082,1866-01-11,TMAX,5.5,41.9,1,EZE
AGE00135039,1866-01-11,TMAX,13.0,55.400000000000006,1,AGE
BE000006447,1866-01-11,TMAX,7.7,45.86,1,BE
CA006110549,1866-01-11,TMAX,-1.1,30.02,1,CA
EIE00101859,1866-01-11,TMAX,8.3,46.94,1,EIE
CA006153192,1866-01-11,TMAX,2.2,35.96,1,CA
CA006158350,1866-01-11,TMAX,1.7,35.06,1,CA
ASN00086071,1866-01-11,TMAX,21.7,71.06,1,ASN
CA006150689,1866-01-11,TMAX,1.1,33.98,1,CA
ITE00100550,1866-01-11,TMAX,8.3,46.94,1,ITE
GME00125218,1866-01-11,TMAX,4.3,39.74,1,GME
ASN00066062,1866-01-12,TMAX,27.9,82.22,1,ASN
AU000005901,1866-01-12,TMAX,5.9,42.620000000000005,1,AU
GM000004204,1866-01-12,TMAX,5.4,41.72,1,GM
UK000047811,1866-01-12,TMAX,10.6,51.08,1,UK
SZ000006717,1866-01-12,TMAX,-8.1,17.42,1,SZ
CA006148100,1866-01-12,TMAX,1.1,33.98,1,CA
ASN00090015,1866-01-12,TMAX,21.1,69.98,1,ASN
UK000056225,1866-01-12,TMAX,11.1,51.980000000000004,1,UK
USC00288878,1866-01-12,TMAX,4.4,39.92,1,USC
ITE00100554,1866-01-12,TMAX,4.9,40.82,1,ITE
GME00125218,1866-01-12,TMAX,5.5,41.9,1,GME
AGE00135039,1866-01-12,TMAX,14.0,57.2,1,AGE
ITE00100550,1866-01-12,TMAX,8.0,46.4,1,ITE
CA006150689,1866-01-12,TMAX,-0.6,30.92,1,CA
ASN00086071,1866-01-12,TMAX,26.1,78.98,1,ASN
EZE00100082,1866-01-12,TMAX,6.1,42.980000000000004,1,EZE
CA006153192,1866-01-12,TMAX,3.3,37.94,1,CA
EIE00101859,1866-01-12,TMAX,9.4,48.92,1,EIE
BE000006447,1866-01-12,TMAX,3.5,38.3,1,BE
CA006158350,1866-01-12,TMAX,1.7,35.06,1,CA
SZ000006717,1866-01-13,TMAX,-7.2,19.04,1,SZ
ITE00100554,1866-01-13,TMAX,3.3,37.94,1,ITE
ASN00090015,1866-01-13,TMAX,20.6,69.08000000000001,1,ASN
CA006148100,1866-01-13,TMAX,2.8,37.04,1,CA
USC00288878,1866-01-13,TMAX,8.9,48.019999999999996,1,USC
UK000047811,1866-01-13,TMAX,12.2,53.96,1,UK
GM000004204,1866-01-13,TMAX,2.8,37.04,1,GM
AU000005901,1866-01-13,TMAX,3.6,38.480000000000004,1,AU
ASN00066062,1866-01-13,TMAX,34.5,94.1,1,ASN
UK000056225,1866-01-13,TMAX,11.7,53.06,1,UK
EZE00100082,1866-01-13,TMAX,2.5,36.5,1,EZE
AGE00135039,1866-01-13,TMAX,12.0,53.6,1,AGE
BE000006447,1866-01-13,TMAX,9.6,49.28,1,BE
EIE00101859,1866-01-13,TMAX,10.0,50.0,1,EIE
CA006153192,1866-01-13,TMAX,6.1,42.980000000000004,1,CA
CA006158350,1866-01-13,TMAX,3.3,37.94,1,CA
ASN00086071,1866-01-13,TMAX,25.1,77.18,1,ASN
CA006150689,1866-01-13,TMAX,-2.8,26.96,1,CA
ITE00100550,1866-01-13,TMAX,6.2,43.16,1,ITE
GME00125218,1866-01-13,TMAX,2.1,35.78,1,GME
GM000004204,1866-01-14,TMAX,8.5,47.3,1,GM
UK000047811,1866-01-14,TMAX,8.9,48.019999999999996,1,UK
USC00288878,1866-01-14,TMAX,2.2,35.96,1,USC
AU000005901,1866-01-14,TMAX,1.8,35.24,1,AU
UK000056225,1866-01-14,TMAX,9.4,48.92,1,UK
SZ000006717,1866-01-14,TMAX,-0.3,31.46,1,SZ
ASN00090015,1866-01-14,TMAX,22.8,73.03999999999999,1,ASN
ASN00066062,1866-01-14,TMAX,34.8,94.63999999999999,1,ASN
BE000006447,1866-01-14,TMAX,10.3,50.540000000000006,1,BE
EZE00100082,1866-01-14,TMAX,5.5,41.9,1,EZE
GME00125218,1866-01-14,TMAX,8.3,46.94,1,GME
ITE00100554,1866-01-14,TMAX,5.6,42.08,1,ITE
EIE00101859,1866-01-14,TMAX,10.6,51.08,1,EIE
CA006158350,1866-01-14,TMAX,-16.1,3.019999999999996,1,CA
ASN00086071,1866-01-14,TMAX,24.3,75.74000000000001,1,ASN
ITE00100550,1866-01-14,TMAX,6.5,43.7,1,ITE
AU000005901,1866-01-15,TMAX,4.4,39.92,1,AU
GM000004204,1866-01-15,TMAX,9.4,48.92,1,GM
UK000047811,1866-01-15,TMAX,9.4,48.92,1,UK
USC00288878,1866-01-15,TMAX,-5.0,23.0,1,USC
UK000056225,1866-01-15,TMAX,10.6,51.08,1,UK
ASN00090015,1866-01-15,TMAX,25.0,77.0,1,ASN
ASN00066062,1866-01-15,TMAX,27.2,80.96000000000001,1,ASN
SZ000006717,1866-01-15,TMAX,0.9,33.62,1,SZ
CA006148100,1866-01-15,TMAX,-8.9,15.98,1,CA
EZE00100082,1866-01-15,TMAX,9.2,48.56,1,EZE
ITE00100554,1866-01-15,TMAX,6.3,43.34,1,ITE
ITE00100550,1866-01-15,TMAX,6.0,42.8,1,ITE
AGE00135039,1866-01-15,TMAX,14.3,57.74,1,AGE
BE000006447,1866-01-15,TMAX,10.4,50.72,1,BE
CA006110549,1866-01-15,TMAX,-12.8,8.959999999999997,1,CA
EIE00101859,1866-01-15,TMAX,10.0,50.0,1,EIE
CA006153192,1866-01-15,TMAX,-4.4,24.08,1,CA
CA006158350,1866-01-15,TMAX,1.1,33.98,1,CA
ASN00086071,1866-01-15,TMAX,39.4,102.92,1,ASN
CA006150689,1866-01-15,TMAX,-16.1,3.019999999999996,1,CA
GME00125218,1866-01-15,TMAX,10.0,50.0,1,GME
AU000005901,1866-01-16,TMAX,3.8,38.84,1,AU
GM000004204,1866-01-16,TMAX,7.1,44.78,1,GM
UK000047811,1866-01-16,TMAX,11.7,53.06,1,UK
USC00288878,1866-01-16,TMAX,1.1,33.98,1,USC
ASN00066062,1866-01-16,TMAX,28.9,84.02,1,ASN
ASN00090015,1866-01-16,TMAX,33.9,93.02,1,ASN
UK000056225,1866-01-16,TMAX,10.5,50.900000000000006,1,UK
SZ000006717,1866-01-16,TMAX,-2.3,27.86,1,SZ
CA006148100,1866-01-16,TMAX,-4.4,24.08,1,CA
ITE00100554,1866-01-16,TMAX,7.1,44.78,1,ITE
CA006150689,1866-01-16,TMAX,-0.6,30.92,1,CA
GME00125218,1866-01-16,TMAX,7.4,45.32,1,GME
EZE00100082,1866-01-16,TMAX,8.1,46.58,1,EZE
ASN00086071,1866-01-16,TMAX,42.3,108.14,1,ASN
CA006158350,1866-01-16,TMAX,2.2,35.96,1,CA
CA006153192,1866-01-16,TMAX,2.2,35.96,1,CA
ITE00100550,1866-01-16,TMAX,6.8,44.24,1,ITE
CA006110549,1866-01-16,TMAX,3.3,37.94,1,CA
BE000006447,1866-01-16,TMAX,7.8,46.04,1,BE
AGE00135039,1866-01-16,TMAX,13.0,55.400000000000006,1,AGE
EIE00101859,1866-01-16,TMAX,10.0,50.0,1,EIE
ASN00066062,1866-01-17,TMAX,29.5,85.1,1,ASN
SZ000006717,1866-01-17,TMAX,-5.6,21.92,1,SZ
UK000056225,1866-01-17,TMAX,10.1,50.18,1,UK
ASN00090015,1866-01-17,TMAX,23.3,73.94,1,ASN
CA006148100,1866-01-17,TMAX,-2.8,26.96,1,CA
USC00288878,1866-01-17,TMAX,0.6,33.08,1,USC
UK000047811,1866-01-17,TMAX,11.1,51.980000000000004,1,UK
GM000004204,1866-01-17,TMAX,6.9,44.42,1,GM
AU000005901,1866-01-17,TMAX,8.0,46.4,1,AU
EZE00100082,1866-01-17,TMAX,6.7,44.06,1,EZE
